document,predicted,ground_truth,precision,recall,f1_score
"We consider cosmological consequences of a conformal-invariant formulation of Einstein's General Relativity where instead of the scale factor of the spatial metrics in the action functional a massless scalar (dilaton) field occurs which scales all masses including the Planck mass. Instead of the expansion of the universe we obtain the Hoyle–Narlikar type of mass evolution, where the temperature history of the universe is replaced by the mass history. We show that this conformal-invariant cosmological model gives a satisfactory description of the new supernova Ia data for the effective magnitude–redshift relation without a cosmological constant and make a prediction for the high-redshift behavior which deviates from that of standard cosmology for z>1.7.We consider cosmological consequences of a conformal-invariant formulation of Einstein's General Relativity where instead of the scale factor of the spatial metrics in the action functional a massless scalar (dilaton) field occurs which scales all masses including the Planck mass. Instead of the expansion of the universe we obtain the Hoyle–Narlikar type of mass evolution, where the temperature history of the universe is replaced by the mass history. We show that this conformal-invariant cosmological model gives a satisfactory description of the new supernova Ia data for the effective magnitude–redshift relation without a cosmological constant and make a prediction for the high-redshift behavior which deviates from that of standard cosmology for z>1.7.","conformal-invariant formulation, spatial metrics, massless scalar, mass evolution, planck mass, action functional, effective magnitude–redshift relation, supernova ia data, hoyle–narlikar type, dilaton field, scale factor, cosmological constant, high-redshift behavior, cosmological model, einstein's general relativity, mass history, standard cosmology","massless scalar, expansion of the universe, dilaton, planck mass, effective magnitude–redshift relation, masses, supernova ia data, hoyle–narlikar type of mass evolution, temperature history of the universe, scale factor, cosmological constant, mass history, standard cosmology",0.471,0.615,0.533
"Since perturbative expansion is used, it is impossible to find the exact bounds; instead, one can derive tree-level unitarity bounds or loop-improved unitarity bounds. In this study, we will use unitarity bounds coming from a tree-level analysis [20]. This tree level analysis is derived with the help of the equivalence theorem [21], which itself is a high-energy approximation where it is assumed that the energy scale is much larger than the Z0 and W± gauge-boson masses. We will consider here this “high-energy” hypothesis that both the equivalence theorem and the decoupling regime are well settled, but in such a way that the unitarity constraint is also fulfilled. Our purpose is to investigate the quantum effects in the decays of the light CP-even Higgs boson h0, especially looking for sizeable differences with respect to the SM in the decoupling regime.","equivalence theorem, w± gauge-boson masses, tree-level unitarity bounds, high-energy approximation, quantum effects, perturbative expansion, loop-improved unitarity bounds, light cp-even higgs boson h0, sm, unitarity constraint, z0 gauge-boson masses, decoupling regime","exact bounds, h0, equivalence theorem, tree level analysis, quantum effects, perturbative expansion, unitarity bounds, unitarity constraint, sm, higgs boson, decoupling regime",0.5,0.545,0.522
"A sentence alignment model based on combined clues and Kernel Extensional Matrix Matching (KEMM) method is proposed. In this model, a similarity matrix for sentence aligning is formed by the similarities of bilingual sentences calculated by the combined clues, such as lexicon, morphology, length and special symbols, etc.; then this similarity matrix is used to construct a select matrix for sentence aligning; finally, obtains the sentence alignments by KEMM. Experimental results illustrated that our model outperforms over the Gale's system on handling any types of sentence alignments, with 30% total sentence alignment error rate decreasing.A sentence alignment model based on combined clues and Kernel Extensional Matrix Matching (KEMM) method is proposed. In this model, a similarity matrix for sentence aligning is formed by the similarities of bilingual sentences calculated by the combined clues, such as lexicon, morphology, length and special symbols, etc.; then this similarity matrix is used to construct a select matrix for sentence aligning; finally, obtains the sentence alignments by KEMM. Experimental results illustrated that our model outperforms over the Gale's system on handling any types of sentence alignments, with 30% total sentence alignment error rate decreasing.","select matrix, gale's system, morphology, length, sentence alignment error rate, kemm, combined clues, bilingual sentences, sentence alignment model, similarity matrix, lexicon, special symbols, kernel extensional matrix matching","kemm, similarity matrix, construct a select matrix, sentence aligning, sentence alignment, kernel extensional matrix matching",0.231,0.5,0.316
"Volume EM can be performed using transmission or scanning electron microscopes. Each approach has its own strengths and weaknesses, and the choice is dependant on the required lateral (x, y) and axial (z) resolution, and the size of the structure of interest. Historically, transmission electron microscopy (TEM) was the tool of choice for ultrastructural examination of biomedical specimens at sub-nanometer resolution. However, for many cell biology studies structural resolution is actually limited by the deposition of heavy metals onto membranes during sample preparation. In addition, voxel dimensions may only need to be half that of the smallest expected feature of interest (Briggman and Bock, 2012). Advances in scanning electron microscopy (SEM) technology are now driving a paradigm shift in electron imaging. SEMs with field emission electron sources and high efficiency electron detectors can achieve lateral resolutions in the order of 3nm, allowing visualisation of structures such as synaptic vesicles and membranes (De Winter et al., 2009; Knott et al., 2008; Vihinen et al., 2013; Villinger et al., 2012), though resolving individual leaflets of membrane bilayers remains a challenge (Vihinen et al., 2013). The use of low beam energies also limits the interaction volume, enhancing axial resolution (Hennig and Denk, 2007). In this review, volume imaging in both transmission and scanning EMs will be explored, moving from traditional manual techniques, through to the latest systems where aspects of both sample preparation and imaging have been automated.","automated techniques, membranes, heavy metals, scanning electron microscopes, voxel dimensions, transmission electron microscopes, high efficiency electron detectors, ultrastructural examination, interaction volume, lateral resolution, sem, sub-nanometer resolution, cell biology, membrane bilayers, volume em, field emission electron sources, synaptic vesicles, tem, axial resolution, sample preparation, low beam energies","membranes, deposition of heavy metals, enhancing axial resolution, scanning electron microscopes, ultrastructural examination of biomedical specimens, imaging, high efficiency electron detectors, electron imaging, interaction volume, visualisation of structures, sem, cell biology studies, membrane bilayers, volume em, latest systems, synaptic vesicles, field emission electron sources, tem, scanning electron microscopy, traditional manual techniques, sample preparation, transmission, sems, low beam energies",0.571,0.5,0.533
"A few studies within the physiological domain are of special relevance to this work. These include a performance analysis of a blood-flow LB solver using a range of sparse and non-sparse geometries [21] and a performance prediction model for lattice-Boltzmann solvers [22,23]. This performance prediction model can be applied largely to our HemeLB application, although HemeLB uses a different decomposition technique and performs real-time rendering and visualisation tasks during the LB simulations. Mazzeo and Coveney [1] studied the scalability of an earlier version of HemeLB. However, the current performance characteristics of HemeLB are substantially enhanced due to numerous subsequent advances in the code, amongst others: an improved hierarchical, compressed file format; the use of ParMETIS to ensure good load-balance; the coalesced communication patterns to reduce the overhead of rendering; use of compile-time polymorphism to avoid virtual function calls in inner loops.","blood-flow lb solver, coalesced communication patterns, virtual function calls, parmetis, load-balance, lattice-boltzmann solvers, real-time rendering, performance analysis, hemelb application, scalability, sparse geometries, performance prediction model, compressed file format, hierarchical file format, visualisation tasks, decomposition technique, non-sparse geometries, compile-time polymorphism, lb simulations, rendering overhead","hemelb, coalesced communication patterns, rendering, parmetis, performance prediction model, lb simulations",0.2,0.667,0.308
"Superconductivity in actinides was first observed in thorium metal in 1929 [7], then in elemental uranium in 1942 [8], and in uranium compounds in 1958 [9]. A new class of uranium superconductors emerged in the 1980's with the discovery of uranium heavy fermion superconductors [10]. Further surprises came at the beginning of the century with the discovery of ferromagnetic superconductors in uranium systems [11] and the first observation of superconductivity in plutonium [12] and neptunium [13] compounds. The actinides (or actinoids) are located at the end of the periodic table (N=89 (Ac) or 90 (Th) to 103 (Lr)). Transuranium elements (or transuranics) are the chemical elements with atomic number (Z) greater than 92 (uranium) and due to their short half-life on a geological timescale, they are essentially synthetic elements. Above Z=103 (Lr), one talks about transactinides (or superactinides) elements. These latter elements have extremely short half-lives and no macroscopic quantity is available for the study of condensed-matter properties.","neptunium, uranium, thorium, superconductivity, transuranium elements, transactinides, actinides, ferromagnetic superconductors, heavy fermion superconductors, plutonium","lr, neptunium, superactinides, synthetic elements, plutonium, ac, transuranics, uranium, superconductivity, transactinides, transuranium elements, actinides, periodic table, th, thorium metal, ferromagnetic superconductors, actinoids",0.8,0.471,0.593
"Although mean-field models have been used in all these settings, little analysis has been done on their behaviour as spatially extended dynamical systems. In part, this is due to their staggering complexity. The Liley model [15] considered here, for instance, consists of fourteen coupled Partial Differential Equations (PDEs) with strong nonlinearities, imposed by coupling between the mean membrane potentials and the mean synaptic inputs. The model can be reduced to a system of Ordinary Differential Equations (ODEs) by considering only spatially homogeneous solutions, and the resulting system has been examined in detail using numerical bifurcation analysis (see [16] and references therein). In order to compute equilibria, periodic orbits and such objects for the PDE model, we need a flexible, stable simulation code for the model and its linearization that can run in parallel to scale up to a domain size of about 2500cm2, the size of a full-grown human cortex. We also need efficient, iterative solvers for linear problems with large, sparse matrices. In this paper, we will show that all this can be accomplished in the open-source software package PETSc [17]. Our implementation consists of a number of functions in C that are available publicly [18].","liley model, iterative solvers, spatially extended dynamical systems, partial differential equations (pdes), parallel computation, numerical bifurcation analysis, simulation code, c functions, ordinary differential equations (odes), mean-field models, petsc, linear problems, large sparse matrices","odes, liley model, spatially extended dynamical systems, ordinary differential equations, numerical bifurcation analysis, membrane potentials, pdes, pde model, synaptic inputs, petsc, partial differential equations",0.308,0.364,0.333
"Numerical simulation of the gas flow through such non-trivial internal geometries is, however, extremely challenging. This is because conventional continuum fluid dynamics, which assumes that locally a gas is close to a state of thermodynamic equilibrium, becomes invalid or inaccurate as the smallest characteristic scale of the geometry (e.g. the channel height) approaches the mean distance between molecular collisions, λ [1]. An accurate and flexible modelling alternative for these cases is the direct simulation Monte Carlo method (DSMC) [2]. However, DSMC can be prohibitively expensive for internal-flow applications, which typically have a geometry of high-aspect ratio (i.e. are extremely long, relative to their cross-section). The high-aspect ratio creates a formidable multiscale problem: processes need to be resolved occurring over the smallest characteristic scale of the geometry (e.g. a channelʼs height), as well as over the largest characteristic scale of the geometry (e.g. the length of a long channel network), simultaneously.","direct simulation monte carlo method (dsmc), mean distance between molecular collisions, multiscale problem, gas flow, continuum fluid dynamics, non-trivial internal geometries, thermodynamic equilibrium, high-aspect ratio, numerical simulation, internal-flow applications","dsmc, accurate and flexible modelling alternative, long channel network, molecular collisions, multiscale problem, channel height, conventional continuum fluid dynamics, gas flow, thermodynamic equilibrium, direct simulation monte carlo method, numerical simulation",0.4,0.364,0.381
"There are a number of avenues to explore for future work, in particular the use of other time–frequency analysis methods. The STFT spectrogram was utilised here, as it is the simplest to implement. Whilst all of the echoes could be clearly resolved in both time and frequency, the spectrogram suffers from a fixed resolution, i.e. an increase of time resolution necessarily leads to a decrease in frequency resolution. Other methods of time–frequency analysis, such as discrete wavelet analysis, benefit from advantage of multi-resolution analysis, which offers improved temporal resolution of the high frequency components, and frequency resolution of the low frequency components [25,18,19]. Also, whilst the current work has utilised SH waves that are generated by EMATs, the physics that describes the pulsed array system is universal to other types of waves. Future work will include demonstrating this phenomenon with a number of other systems, for example using longitudinal ultrasonic waves or electromagnetic waves.","time–frequency analysis, stft spectrogram, discrete wavelet analysis, longitudinal ultrasonic waves, electromagnetic waves, multi-resolution analysis, fixed resolution, sh waves","spectrogram, time–frequency analysis, pulsed array system, discrete wavelet analysis, longitudinal ultrasonic waves, electromagnetic waves, time resolution, fixed resolution, emats, sh waves, low frequency components, temporal resolution, frequency resolution, demonstrating this phenomenon with a number of other systems",0.75,0.429,0.545
"After all micro elements reach a relaxed steady-state, measurements are obtained using a cumulative averaging technique to reduce noise. Each micro element is divided into spatially-oriented bins in the y-direction in order to resolve the velocity and shear-stress profiles. Velocity in each bin is measured using the Cumulative Averaging Method (CAM) [24], while the stress tensor field is measured using the Irving–Kirkwood relationship [25]. A least-squares polynomial fit to the data is performed, which helps reduce noise further. The fit produces a continuous function that avoids stability issues arising from supplying highly fluctuating data to the macro solver. A least-squares fit is applied to an Nth order polynomial for the velocity profile in the core region, and an Mth order polynomial for the velocity profile in the constrained region:(16)〈ui,core〉=∑k=1Nbk,iyi′(N−k),for 0⩽yi′⩽hcore, and(17)〈ui,cs〉=∑k=1Mck,iyi″(M−k),for 0⩽yi″⩽hcs, where bk,i and ck,i are the coefficients of the polynomials used in the core micro region and constrained region respectively. An estimate of the new slip velocity uB for input to the macro solution (6) is taken directly from the compressed wall micro-element solution (16), at yi′=0.","irving–kirkwood relationship, least-squares polynomial fit, macro solution, relaxed steady-state, cumulative averaging method (cam), velocity profiles, micro elements, constrained region, mth order polynomial, nth order polynomial, core region, slip velocity, macro solver, y-direction, cumulative averaging technique, wall micro-element solution, stress tensor field, shear-stress profiles, spatially-oriented bins","cumulative averaging technique, nth order polynomial, velocity, cumulative averaging method, macro solver, cam, polynomials, stress tensor field, reduce noise, continuous function, irving–kirkwood relationship, mth order polynomial, stability issues, macro solution",0.368,0.5,0.424
"AA 2024-T3 aluminium alloy is widely used for aerospace applications due to its high strength to weight ratio and high damage tolerance that result from copper and magnesium as the principal alloying elements and appropriate thermomechanical processing. The microstructure of the alloy is relatively complex and a number of compositionally-distinct phases have been identified [1]. Although possessing favourable mechanical properties, the alloy is relatively susceptible to corrosion and generally requires surface treatment in practical applications. The corrosion behaviour of the alloy is particularly affected by the presence of the intermetallic particles due to their differing potentials with respect to the alloy matrix [2–9]. Copper-containing second phase particles at the alloy surface are particularly detrimental to the corrosion resistance as they provide preferential cathodic sites [2,10]. One of the principle types of second phase particle that is important to the corrosion behaviour of the alloy is the S phase (Al2CuMg) particle [1,11]. Dealloying of S phase particles, which may account for ∼60% of the constituent particles in AA2024 alloys [11], is commonly observed when the alloy is exposed to an aggressive environment. The particles are considered as important initiation sites for severe localized corrosion in the alloy [11–22]. The dealloying of the S phase particles and the resulting enrichment of copper result in a decrease of the Volta potential with respect to the matrix and hence the dealloyed particles become active cathodic sites [23–25].","compositionally-distinct phases, microstructure, aa 2024-t3 aluminium alloy, intermetallic particles, corrosion resistance, damage tolerance, volta potential, corrosion susceptibility, preferential cathodic sites, dealloying, al2cumg, alloy matrix, localized corrosion, copper-containing second phase particles, thermomechanical processing, strength to weight ratio, copper, magnesium, aerospace applications, mechanical properties, s phase particle, surface treatment","intermetallic particles, particles, decrease of the volta potential, dealloyed particles, cathodic sites, dealloying, enrichment, alloy, al2cumg, second phase particle, aa2024 alloys, corrosion, constituent particles, alloying elements, thermomechanical processing, copper, s phase, magnesium, aerospace applications, surface treatment",0.364,0.4,0.381
"Functionally Graded Materials (FGMs), described in detail by Suresh and Mortensen [1], are a type of heterogeneous composite materials exhibiting gradual variation in volume fraction of their constituents from one surface of the material to the other, resulting in properties which vary continuously across the material. The idea of a Functionally Graded Material is not a new one, there are in fact many natural materials which exhibit this property. Study of bone, shell, balsawood and bamboo shows that they are all graded with their greatest strength on the outside, in areas where the greatest protection is required. However it was not until the 1980s in Japan [2] that the idea of a Functionally Graded Material was actively researched in order to gain advances in heat resistant materials for use in aerospace and nuclear fission reactors.","nuclear fission reactors, natural materials, strength, heterogeneous composite materials, aerospace, constituents, continuously across the material, shell, gradual variation, volume fraction, heat resistant materials, functionally graded materials, bone, balsawood, bamboo","fgms, nuclear fission reactors, aerospace, heterogeneous composite materials, shell, heat resistant materials, functionally graded materials, functionally graded material, bone, balsawood, bamboo",0.6,0.818,0.692
"Myocardial electrical propagation can be simulated using the monodomain or bidomain PDEs [5,6]. Due to its capacity to represent complex geometries with ease, approximations are often obtained using the finite element method (FEM) to discretise the PDEs in space on realistic cardiac geometry meshes; this results in very large (up to forty-million degrees of freedom (DOF) for human heart geometries) systems of linear equations which must be solved many thousands of times over the course of even a short simulation. Thus, they are extremely computationally demanding, presenting taxing problems even to high-end supercomputing resources. This computational demand means that effort has been invested in developing efficient solution techniques, including work on preconditioning, parallelisation and adaptivity in space and time [7–12]. In this study, we investigate the potential of reducing the number of DOF by using a high-order polynomial FEM [13–15] to approximate the monodomain PDE in space, with the goal of significantly improving simulation efficiency over the piecewise-linear FEM approach commonly used in the field [16–19]. For schemes where the polynomial degree p of the elements is adjusted according to the error in the approximation, this is known as the finite element p-version. In the work presented here, we work with schemes which keep p fixed.","linear equations, monodomain pde, adaptivity, piecewise-linear fem, preconditioning, finite element p-version, bidomain pde, simulation efficiency, finite element method (fem), parallelisation, high-order polynomial fem, degrees of freedom (dof), cardiac geometry meshes","monodomain pde, adaptivity in space and time, monodomain or bidomain pdes, geometries, preconditioning, myocardial electrical propagation, developing efficient solution techniques, investigate the potential of reducing the number of dof, systems of linear equations, fem, pdes, parallelisation, significantly improving simulation efficiency, finite element method, simulation, cardiac geometry meshes",0.308,0.25,0.276
"PV cells are one of the most promising technologies for conversion of incident solar radiation into electric power. However, this technology is still far from being able to compete with fossil fuel-based energy conversion technologies because of its relatively low efficiency and energy density. Theoretically, there are three unavoidable losses that limit the solar conversion efficiency of a device with a single absorption threshold or band gap Eg: (1) incomplete absorption, where photons with energies below Eg are not absorbed; (2) thermalization or carrier cooling, where solar photons with sufficient energy generate electron-hole pairs and then immediately lose almost all energy in excess of Eg in the form of heat; and (3) radiative recombination, where a small fraction of the excited states radioactively recombine with the ground state at the maximum power output (Hanna & Nozik, 2006; Henry, 1980). Taking an air mass of 1.5 as an example, for different band gap Eg these three losses can be calculated and the results are indicated by areas S1, S2, and S3 in Fig. 1. Note that the area under the outer curve is the solar power per unit area, and that only S4 can be delivered to the load.","band gap, efficiency, solar conversion efficiency, ground state, energy density, pv cells, load, incomplete absorption, carrier cooling, excited states, radiative recombination, unavoidable losses, thermalization, fossil fuel-based energy conversion, maximum power output, electric power, solar power, air mass 1.5, solar radiation, absorption threshold","solar conversion, pv cells, absorption, thermalization, photons, carrier cooling, conversion of incident solar radiation into electric power, solar power, radiative recombination",0.25,0.556,0.345
"The other methods for enhancement of photocatalytic activity are grafting co-catalysts. There are two kinds of co-catalysts in terms of its function: one is for separation of electrons and the other is for separation of holes. The former representative co-catalysts are Pt, Fe3+, and Cu2+ [9–12]. It was reported that Fe3+ and Cu2+ were grafted as amorphous oxide cluster [9,10], and reduced into Fe2+ and Cu+ by receiving one electron, respectively [11,12]. The reduced metal oxide cluster with reduced ions could return into the original state by giving more than one electron to molecular oxygen. The latter ones are CoOx, CoPi (CoPOx), IrOx, and RuOx which are used for water oxidation, among which CoPi is reported to be the most effective co-catalyst for water oxidation [13]. However, there were few reports concerning co-grafting effects on photocatalytic activity especially in gaseous phase. We expected that by co-grafting of both co-catalysts for separations of electrons and holes, photocatalytic activity in gaseous phase would be further enhanced. Moreover, complex of BiVO4 with the other materials of p-type semiconductor is also effective for enhancing photocatalytic activity.","irox, co-grafting, photocatalytic activity, bivo4, cu2+, hole separation, electron separation, amorphous oxide cluster, cu+, water oxidation, copi, p-type semiconductor, fe3+, pt, fe2+, co-catalysts, ruox, coox, gaseous phase","irox, oxygen, reduced metal oxide cluster, water oxidation, copi, ruox, coox, reduced ions, bivo4, photocatalytic activity, electrons, gaseous phase, copox, amorphous oxide cluster, electron, holes, pt, enhancement of photocatalytic activity",0.526,0.556,0.541
"In representing wetland-river interactions involving GIWs, many models assume that the wetland can discharge into a river but cannot receive overbank flows from it. In such models, the volume of water (or water level elevation) in a wetland and its corresponding threshold value (predominantly controlled by outlet elevation) are the prime determinants of wetland outflow (Feng et al., 2012; Hammer and Kadlec, 1986; Johnson et al., 2010; Kadlec and Wallace, 2009; Powell et al., 2008; Voldseth et al., 2007; Wen et al., 2013; Zhang and Mitsch, 2005). However, in regions characterised by widespread riparian wetlands that are hydraulically connected with adjacent rivers, wetland-river interaction is likely to be bidirectional. Such interactions should be quantified according to hydraulic principles involving relative river and wetland water level elevations as well as the properties of the connection between the two (Kouwen, 2013; Liu et al., 2008; Min et al., 2010; Nyarko, 2007; Restrepo et al., 1998). In the WATFLOOD model, for instance, riparian wetland-river interaction is modelled using the principle of Dupuit-Forchheimer lateral/radial groundwater flow (Kouwen, 2013). Since exchange between riparian wetlands and rivers can occur over the surface and/or through the subsurface, Restrepo et al. (1998) incorporated an equivalent transmissivity expression, obtained for wetland vegetation and the subsurface soil, into the Darcy flow equation of the MODFLOW model.","wetland-river interactions, outlet elevation, bidirectional interaction, giws, river water level, equivalent transmissivity, dupuit-forchheimer lateral groundwater flow, wetland outflow, hydraulic principles, darcy flow equation, subsurface exchange, wetland water level, riparian wetlands, surface exchange","outlet elevation, modflow, relative river and wetland water level elevations, wetland vegetation, watflood, equivalent transmissivity expression, properties of the connection between the two, interactions should be quantified according to hydraulic principles, subsurface soil, darcy flow equation",0.143,0.2,0.167
"First results from RHIC on charged multiplicities, evolution of multiplicities with centrality, particle ratios and transverse momentum distributions in central and minimum bias collisions, are analyzed in a string model which includes hard collisions, collectivity in the initial state considered as string fusion, and rescattering of the produced secondaries. Multiplicities and their evolution with centrality are successfully reproduced. Transverse momentum distributions in the model show a larger pT-tail than experimental data, disagreement which grows with increasing centrality. Discrepancies with particle ratios appear and are examined comparing with previous features of the model at SPS.First results from RHIC on charged multiplicities, evolution of multiplicities with centrality, particle ratios and transverse momentum distributions in central and minimum bias collisions, are analyzed in a string model which includes hard collisions, collectivity in the initial state considered as string fusion, and rescattering of the produced secondaries. Multiplicities and their evolution with centrality are successfully reproduced. Transverse momentum distributions in the model show a larger pT-tail than experimental data, disagreement which grows with increasing centrality. Discrepancies with particle ratios appear and are examined comparing with previous features of the model at SPS.","initial state, particle ratios, rescattering, charged multiplicities, experimental data, sps, minimum bias collisions, pt-tail, string model, string fusion, evolution of multiplicities with centrality, collectivity, rhic, transverse momentum distributions, hard collisions, central collisions","collectivity in the initial state, particle, charged multiplicities, discrepancies with particle ratios, their evolution, multiplicities, string model, evolution of multiplicities with centrality, rescattering of the produced secondaries, transverse momentum distributions, hard collisions",0.312,0.455,0.37
"This research traces the implementation of an information system in the form of ERP modules covering tenant and contract management in a Chinese service company. Misalignments between the ERP system specification and user needs led to the adoption of informal processes within the organisation. These processes are facilitated within an informal organisational structure and are based on human interactions undertaken within the formal organisation. Rather than to attempt to suppress the emergence of the informal organisation the company decided to channel the energies of staff involved in informal processes towards organisational goals. The company achieved this by harnessing the capabilities of what we term a hybrid ERP system, combining the functionality of a traditional (formal) ERP installation with the capabilities of Enterprise Social Software (ESS). However the company recognised that the successful operation of the hybrid ERP system would require a number of changes in organisational design in areas such as reporting structures and communication channels. A narrative provided by interviews with company personnel is thematised around the formal and informal characteristics of the organisation as defined in the literature. This leads to a definition of the characteristics of the hybrid organisation and strategies for enabling a hybrid organisation, facilitated by a hybrid ERP system, which directs formal and informal behaviour towards organisational goals and provides a template for future hybrid implementations.","contract management, tenant management, hybrid erp system, informal organisational structure, hybrid implementations, enterprise social software (ess), organisational design, informal processes, reporting structures, communication channels, hybrid organisation, user needs, erp modules","erp system, enterprise social software, ess, erp installation, erp modules",0.077,0.2,0.111
"An early attempt to combine sets and networks in a single visualization relied on first drawing an Euler diagram then placing a graph inside it [30], however the sets were often visualized with convoluted, difficult to follow curves. In addition, only limited kinds of set data could be shown as the system was limited to well-formed Euler diagrams. Compound graphs can be used to represent restricted kinds of grouped network data [8]. Graph clusters are visualized with transparent hulls by Santamaria and Theron [39]. However, the technique removes edges from the graph and it is not sufficiently sophisticated for arbitrary overlapping sets. Itoh et al. [24] proposed to overlay pie-like glyphs over the nodes in a graph to encode multiple categories. Each set is hence represented using disconnected regions that are linked by having the same colour. This causes difficulties with tasks that involve finding relations between sets such as T1, T3 and T4 in Section 5.3. A related class of techniques visualize grouping information over graphs using convex hulls, such as Vizster [22]. However, they do not support visualizing set overlaps.","set overlaps, graph clusters, convex hulls, compound graphs, pie-like glyphs, euler diagram, set data, transparent hulls, graph visualization","convex hulls, finding relations between sets, graph clusters, compound graphs, euler diagrams, euler diagram, glyphs, visualize grouping information over graphs, combine sets and networks in a single visualization, network data, vizster, transparent hulls",0.556,0.417,0.476
"It has recently been demonstrated [15] (see also [13] and references therein) that for a self-dual background the two-loop QED effective action takes a remarkably simple form that is very similar to the one-loop action in the same background. There are expectations that this similarity persists at higher loops, and therefore there should be some remarkable structure encoded in the all-loop effective action for gauge theories. In the supersymmetric case, one has to replace the requirement of self-duality by that of relaxed super self-duality [16] in order to arrive at conclusions similar to those given in [15]. Further progress in this direction may be achieved through the analysis of N=2 covariant supergraphs. Finally, we believe that the results of this Letter may be helpful in the context of the conjectured correspondence [17–19] between the D3-brane action in AdS5×S5 and the low-energy action for N=4 SU(N) SYM on its Coulomb branch, with the gauge group SU(N) spontaneously broken to SU(N−1)×U(1). There have appeared two independent F6 tests of this conjecture [19,20], with conflicting conclusions. The approach advocated here provides the opportunity for a further test.","ads5×s5, coulomb branch, gauge group su(n) spontaneously broken to su(n−1)×u(1), all-loop effective action, relaxed super self-duality, n=2 covariant supergraphs, d3-brane action, n=4 su(n) sym, gauge theories, self-dual background, supersymmetric case, two-loop qed effective action, f6 tests","ads5×s5, gauge group, higher loops, coulomb branch, covariant supergraphs, f6 tests of this conjecture",0.154,0.333,0.211
"A living polymerization is a reaction without transfer and termination reactions that can proceed up to complete monomer conversion. In addition, when initiation is quantitative and fast compared to the propagation reaction, polymers with precisely controlled chain length and narrow molar mass distribution can be obtained. In the case of an industrial styrene polymerization this would permit to avoid any specific washing or degassing steps, which are necessary in the radical process to remove residual monomer and low molar mass oligomers. Since head-to-head defects along the chains are absent, anionic polystyrene would exhibit also a better thermal stability than radical one. Therefore, production of anionic polystyrene (PS) would be of interest if the conditions required to control the polymerization could be adapted to the market and be able to compete economically with industrial radical processes. The use of organic solvents and of expensive alkyllithium initiators, as well as the relatively low reaction temperatures required, was some important limitation to overcome. The possibilities to achieve a quantitative living-like anionic polymerization of styrene in the absence of solvent and at elevated temperature, using inexpensive initiating systems, were the main targets identified to tremendously decrease the cost of the anionic process. This implied at first to control the reactivity and stability of initiating and propagating active species in such unusual operating conditions.","styrene polymerization, elevated temperature, reaction temperatures, anionic polystyrene, chain length, radical process, living polymerization, inexpensive initiating systems, alkyllithium initiators, molar mass distribution, thermal stability, absence of solvent","low molar mass oligomers, degassing, monomer conversion, industrial styrene polymerization, organic solvents, washing, anionic polystyrene, solvent, termination, propagating active species, polymerization, anionic polymerization of styrene, polymers, propagation, alkyllithium initiators, reaction",0.167,0.125,0.143
"Measuring and analysing the hold time of the CPA pill allows the thermal boundary resistance within the pill to be assessed; the thermal boundary dictates the actual temperature of the CPA crystals in comparison to the temperature of the cold finger, which is maintained at a constant temperature by a servo control program. Fig. 17 shows the temperature profile during the recycling of the CPA pill and subsequent operation at 200mK. During the hold time, the servo control program maintained the CPA pill temperature to within a millikelvin. It is expected that microkelvin stability can be achieved with fast read-out thermometry (which was not available at the time of testing but which will be used for the mKCC), as this would allow for temperature control on much faster (millisecond) timescales than the current (approximately 1s) thermometry readout used.","microkelvin stability, fast read-out thermometry, thermal boundary resistance, servo control program, mkcc, 1s thermometry readout, 200mk, cpa crystals, temperature profile, hold time, cold finger, millikelvin, cpa pill, millisecond timescales, recycling","microkelvin stability, thermal boundary, mkcc, servo control program, pill, cpa crystals, operation at 200mk, temperature, cold finger, cpa pill, recycling",0.467,0.636,0.538
"The most widely used ion source in FIB instruments is a gallium (Ga) liquid metal ion source (LMIS) [1]. Gallium is attractive as an ion source because of its low melting temperature (29.8°C at standard atmospheric pressure [4]) and its low volatility [1]. However, some materials show sensitivity to the Ga ion beam. This sensitivity is manifested as changes in the structure and chemical composition of the starting material upon exposure to the Ga ion beam [5]. Group III–V compound semiconductors are one class of materials that show such sensitivity. Cryo-FIB milling has recently been reported to suppress the reactions between the Ga ion beam and III–V materials [6]. The suggested advantage of cryo-FIB milling over room temperature milling of Group III–V materials is appealing, given the variety of present and potential future applications for these materials (e.g., as electronic or photonic devices given the favorable electron transport and direct band gap properties associated with several III–V semiconductor systems).","gallium liquid metal ion source, material sensitivity, fib instruments, cryo-fib milling, room temperature milling, group iii-v compound semiconductors, lmis, ga ion beam","semiconductor, ga, fib instruments, group iii–v materials, semiconductors, gallium, iii–v materials",0.125,0.143,0.133
